From,To,AvgDelay,Distance
PHX,SEA,152,4496
DTW,HNL,116,1500
STL,SMF,12,2945
OAK,ATL,9,2515
BOS,RDU,129,2733
DFW,MDW,57,1368
JFK,CLT,109,4899
DTW,BOS,56,3944
OAK,CMH,18,3889
CMH,DEN,33,4084
DFW,MSY,15,1296
DCA,SJC,102,2014
SAN,OAK,58,607
TPA,OAK,53,2848
MIA,FLL,44,1026
PIT,FLL,144,3109
TPA,DTW,122,4836
LAS,CLT,60,976
MDW,TPA,109,2586
MSP,CLE,15,4662
SFO,CVG,75,2018
DTW,MKE,99,3441
PHX,MDW,175,755
LAS,DFW,8,1425
SAN,DCA,80,4744
JFK,RDU,6,3098
SMF,STL,38,1869
FLL,LAS,127,3370
PHL,JFK,8,1395
CMH,AUS,156,241
SJC,LAX,82,227
JFK,SLC,101,2370
PIT,CVG,68,1892
MIA,PHX,58,4508
MIA,TPA,129,3186
SLC,MKE,102,1982
STL,MKE,117,3883
FLL,LAS,42,4583
STL,DEN,141,4323
TPA,FLL,157,435
LAS,STL,45,568
CLT,MIA,76,1131
LAX,IND,56,4022
MSP,SAN,6,4455
MDW,RDU,88,1944
IND,PIT,54,3885
CVG,SFO,67,3864
CVG,RDU,162,3511
FLL,MKE,114,4463
PHL,CVG,106,721
BOS,IND,154,1481
DTW,RDU,71,772
IAH,LAX,7,2174
SJC,OAK,128,4378
IND,CVG,128,2229
IAH,CVG,35,2878
IAH,CMH,160,4292
BOS,DFW,50,3613
PHX,DFW,172,4009
CMH,PDX,41,2799
IAH,MIA,79,811
MKE,SFO,122,1995
HNL,CVG,84,1666
DTW,SMF,144,482
STL,DEN,29,4048
CMH,SAN,154,3410
DEN,DTW,109,440
SMF,DCA,51,2308
MDW,DCA,27,2545
PIT,MSP,162,2684
CVG,IAH,54,3270
PIT,PHX,142,4636
IND,DTW,91,1938
CLE,IAH,42,2983
CLE,IAH,112,3726
SAN,PHX,174,4823
MIA,SAN,24,1129
MCO,MSY,177,469
CMH,HNL,142,3625
PHL,CMH,149,2263
SMF,PIT,101,1227
PHX,SJC,78,3461
CVG,PHX,113,3737
PHL,AUS,57,3076
PHX,BOS,136,557
PIT,SLC,140,4721
MSY,STL,34,3398
MSY,MIA,8,2758
RDU,SJC,14,1815
MIA,SLC,94,114
BOS,STL,76,3855
MDW,SAN,97,2052
SAN,PIT,14,303
CMH,MCO,25,893
DEN,MDW,34,3131
CVG,TPA,27,1102
DEN,IND,50,2910
SJC,ORD,52,3334
DTW,MIA,165,4964
SAN,MDW,20,2133
AUS,SMF,102,1525
HNL,PIT,17,1086
IAH,SLC,14,1589
SLC,CMH,163,2089
DCA,JFK,167,3076
MCO,PHL,55,2015
PIT,AUS,24,880
MSY,ATL,133,704
SMF,SAN,124,4430
TPA,PHL,152,4961
ORD,MSP,170,3731
JFK,BOS,50,3632
JFK,TPA,10,3918
LAS,PHX,167,1878
CLE,JFK,49,258
RDU,DTW,49,1706
CMH,SLC,7,1638
PHX,FLL,56,1808
DFW,DTW,38,1081
RDU,MSY,62,4332
CLT,RDU,25,3660
PHL,DFW,64,4897
MIA,DEN,62,2291
SAN,DTW,16,2967
CLT,MDW,162,1532
SAN,AUS,90,4737
DFW,CLT,82,2999
PIT,MSY,81,4714
MDW,TPA,99,1783
CLE,ATL,146,1035
MSY,HNL,148,322
SAN,CMH,59,1184
TPA,IND,40,963
IND,MIA,137,2228
SAN,IND,158,476
LAS,AUS,145,910
SJC,DTW,42,4447
JFK,IND,5,2539
PIT,SEA,19,4262
TPA,OAK,26,3931
IND,IAH,173,2953
PHL,BWI,101,319
MIA,SLC,67,2063
ORD,SMF,99,367
ORD,SLC,173,3653
PDX,DEN,128,4441
DTW,SEA,15,1039
LAS,MSP,12,794
BWI,OAK,22,3463
MCO,LAX,112,4787
MKE,JFK,66,1718
LAS,SJC,159,3516
FLL,MIA,175,442
MKE,IND,104,4968
CVG,HNL,159,2644
DTW,SEA,109,3038
JFK,PIT,126,4689
LAX,PHL,63,3391
MSY,MIA,106,3837
CMH,ORD,42,1721
JFK,MIA,7,3133
IAH,PHX,67,128
MSP,JFK,29,4910
PIT,BOS,176,1952
MIA,PHX,13,4731
DFW,PDX,179,3427
SMF,MKE,174,2124
BOS,AUS,169,1469
PHX,MDW,13,2751
SLC,CVG,112,3236
DCA,ATL,100,4987
PIT,HNL,73,1644
RDU,SFO,35,2316
MKE,DFW,43,1782
ATL,PHL,151,4804
CMH,SFO,82,1793
SEA,LAX,39,4922
MKE,SEA,136,4861
MIA,OAK,93,4285
PHL,ORD,87,3260
CMH,SJC,126,3735
DCA,MSP,62,859
ORD,CVG,140,3636
AUS,FLL,130,1357
BOS,DCA,145,4375
STL,DEN,84,1065
OAK,PIT,29,1998
LAS,DCA,12,3186
BWI,MSY,45,2156
ATL,IND,30,163
DEN,CMH,165,358
MKE,SEA,93,740
SMF,SFO,102,424
SAN,TPA,137,3478
CMH,STL,92,4822
OAK,SMF,155,4941
MKE,DFW,86,2871
SFO,PHX,5,4419
PHL,IND,158,2471
MKE,STL,148,3659
BOS,STL,42,435
SMF,MSY,103,921
RDU,SFO,47,1652
ATL,PHX,127,2391
CLE,DTW,104,3767
IND,MDW,171,176
PHL,ATL,123,1922
BWI,HNL,170,3581
CVG,CLE,58,4930
SMF,JFK,108,2473
MIA,AUS,30,1309
IAH,PHL,61,2702
AUS,MIA,99,338
SJC,HNL,98,1896
BWI,PHL,106,2632
STL,MCO,96,2388
DCA,BWI,55,2455
MSY,SMF,74,2323
JFK,CLT,52,1374
SAN,MSY,160,3524
DEN,PDX,176,4495
SFO,MKE,56,4478
TPA,BOS,116,2204
IAH,BOS,144,3794
LAS,ORD,24,4921
RDU,CLT,22,3256
ORD,SEA,143,1692
MCO,JFK,83,3495
BWI,CVG,142,2553
AUS,CVG,59,1504
PHX,BWI,81,2889
STL,DFW,93,4922
PDX,CLE,67,4781
ORD,CLE,60,3673
SLC,MSP,5,3266
FLL,CVG,40,678
ORD,PHX,95,2990
ORD,SJC,98,2959
SLC,ATL,167,4111
BWI,IAH,47,607
MSP,PDX,120,2593
DTW,SAN,150,2455
CMH,DTW,13,4213
LAX,CVG,173,1971
PHX,IND,177,4869
SJC,MSY,65,3933
SAN,CMH,96,3594
SEA,LAX,6,1058
MSP,MIA,80,4868
LAS,MCO,180,4096
DEN,MIA,54,4625
IAH,MDW,138,1477
PHX,PDX,134,2467
PHX,ATL,65,542
MSY,SMF,136,575
BWI,SJC,92,2460
DCA,PHX,173,393
PHL,IAH,101,3844
FLL,DTW,152,4730
PHX,MKE,32,2126
MSP,SAN,85,4876
LAX,OAK,78,1412
OAK,SJC,78,3180
MSP,BWI,133,2854
CLE,MKE,118,3341
TPA,LAS,117,1353
CLT,SMF,161,3131
OAK,PIT,170,4891
MIA,PDX,27,3093
MKE,BOS,8,2769
FLL,MIA,140,564
LAX,MIA,24,4396
JFK,IAH,8,753
CVG,LAX,91,4820
PHL,MSP,10,4970
MSY,AUS,67,392
CLE,PHL,151,3753
SEA,PHL,142,1818
CLT,SAN,66,2306
CVG,JFK,138,504
IND,SLC,124,286
SAN,PHX,90,3519
PDX,SAN,61,145
DCA,LAX,174,4561
CLE,CVG,102,3457
OAK,SMF,146,2323
TPA,PHL,119,2969
BWI,DFW,111,4935
CVG,PHL,81,1178
CLE,LAX,115,389
STL,OAK,146,260
MDW,SEA,166,618
MKE,PIT,78,2044
PHL,DCA,39,2915
MIA,FLL,41,4348
LAX,RDU,142,3729
DEN,MCO,28,1391
AUS,SFO,158,2046
MSY,DCA,114,1455
AUS,SMF,125,2105
MIA,CVG,56,1871
MDW,RDU,78,1906
FLL,CLT,169,1127
IAH,STL,56,4114
OAK,CLE,10,873
SEA,CMH,108,2392
RDU,FLL,38,3766
IAH,SJC,68,4617
DCA,CLT,174,3746
PHX,TPA,47,1762
CMH,DTW,44,1906
FLL,IAH,25,2117
FLL,BOS,114,2615
IND,MIA,88,1236
MSY,MCO,53,3476
STL,MCO,53,3906
SFO,LAS,134,4720
MSY,STL,172,1808
RDU,DTW,17,933
CLT,DCA,70,4847
PHL,SJC,158,4269
DCA,SAN,44,1060
CMH,SEA,154,3687
RDU,PDX,126,172
MIA,AUS,69,3007
SFO,MSY,131,1833
BOS,MIA,171,535
SJC,SFO,112,4538
MSY,AUS,75,851
SLC,MDW,148,863
LAS,BWI,92,4118
SAN,CLE,148,1780
TPA,MCO,93,1637
CLE,SAN,176,4353
MCO,CVG,121,620
DTW,SFO,88,4572
OAK,IND,7,3225
CVG,SEA,171,3284
HNL,RDU,68,2900
SEA,CVG,62,3282
DEN,SFO,130,769
CLE,TPA,14,4794
ATL,MSY,174,1387
MSP,ATL,106,4897
MDW,ORD,64,2502
FLL,MSP,138,3338
SFO,MDW,129,841
SMF,CMH,55,2531
PHX,MDW,172,3721
TPA,OAK,152,1176
SMF,DCA,142,4258
PIT,SFO,38,1482
IAH,CLE,8,3754
STL,ATL,62,1946
CVG,SJC,23,2079
HNL,BWI,176,2365
PIT,MDW,115,3778
AUS,OAK,91,1864
SMF,BWI,171,3435
DTW,OAK,117,1399
RDU,HNL,65,1744
SLC,MSY,78,2089
PHL,MSP,169,4107
IAH,PHX,144,684
IAH,SJC,9,3694
DEN,DFW,66,2072
STL,MSP,105,4128
PHL,IND,42,4794
LAS,DFW,93,1945
SLC,PHL,102,2278
PHX,IAH,158,1792
PDX,RDU,100,1576
FLL,SJC,19,1659
DTW,TPA,69,2834
OAK,HNL,21,1405
MIA,STL,54,4507
DCA,ORD,84,1363
BOS,SMF,73,4391
PHL,SMF,115,515
SJC,CVG,24,3247
MCO,BWI,162,797
PHX,LAS,39,1915
CLT,HNL,144,3500
PHX,AUS,40,1686
MSP,MKE,12,3153
MKE,SLC,95,2246
IND,PHX,18,2609
TPA,OAK,15,3276
STL,MIA,125,677
CLE,PIT,71,3474
IAH,DEN,170,4101
STL,PHX,109,763
SEA,DCA,129,4207
DTW,OAK,117,3911
AUS,LAX,81,3807
BOS,CLE,145,138
CVG,SJC,38,2413
IAH,STL,170,2851
DCA,MSY,21,1595
IND,FLL,121,906
AUS,PHL,110,3340
OAK,PIT,5,4181
JFK,MIA,154,1134
OAK,MDW,148,1119
MDW,TPA,71,2920
MKE,HNL,172,230
HNL,SFO,146,4874
ATL,FLL,47,313
SFO,MCO,158,4966
MSP,PDX,146,1715
CMH,SLC,63,279
PIT,CLE,80,2832
DEN,RDU,62,1302
PHX,ORD,179,2495
PHX,LAX,163,2842
CLE,AUS,61,1008
DCA,PHL,66,1734
SLC,ORD,56,1921
BWI,DEN,162,2379
AUS,PIT,62,3678
SAN,STL,39,3083
LAX,PDX,141,145
IND,DCA,109,4080
LAS,PHX,90,3339
MSY,SEA,102,1990
SJC,PHX,97,644
MSP,SFO,8,4629
PIT,JFK,42,2079
SFO,MDW,134,2461
JFK,HNL,8,2179
SFO,ORD,36,3074
CMH,MSP,87,2296
SMF,AUS,174,2059
STL,CMH,35,3007
TPA,MIA,27,1331
MDW,PDX,138,4252
PIT,PDX,154,2577
CMH,IND,148,4825
BWI,AUS,67,2212
MSP,IAH,99,3870
SLC,PHX,131,2473
IAH,PHL,175,492
CLE,BWI,76,2634
DCA,OAK,34,1648
CLT,CMH,135,209
CVG,SMF,151,4777
MDW,STL,170,3473
LAS,MSY,107,396
LAX,BWI,154,2210
IND,SJC,59,557
SEA,AUS,90,2081
PHX,DTW,179,1674
MCO,LAX,125,2994
MIA,CLE,97,359
SAN,SJC,126,4631
SJC,DEN,119,1531
SLC,HNL,50,3817
CMH,CLE,45,2723
SJC,PIT,119,4241
MDW,BWI,168,3008
TPA,SFO,107,1837
CMH,CLE,38,611
DFW,JFK,73,4250
LAX,OAK,156,4813
DCA,ATL,122,1327
ORD,DFW,141,457
AUS,HNL,27,639
CVG,ATL,58,4395
TPA,PIT,30,4342
MSY,MDW,95,4914
IAH,SJC,18,447
HNL,DCA,134,4293
BWI,DFW,7,2090
PIT,MSY,83,4555
LAS,CMH,55,4944
HNL,FLL,10,4497
MIA,HNL,6,2902
DTW,FLL,57,3382
MSY,SEA,66,202
MIA,STL,146,2240
ATL,DCA,117,429
MSP,CLE,109,1564
MDW,DEN,69,1351
MKE,PHX,163,4626
PDX,BWI,151,4316
IAH,RDU,142,2240
LAS,AUS,56,3824
HNL,DCA,11,1514
OAK,ATL,109,633
IND,BOS,65,4681
RDU,IND,139,3274
LAS,DEN,25,2852
MCO,DFW,73,832
MDW,DFW,139,4466
SMF,AUS,120,1635
CLT,LAX,165,4426
STL,MDW,92,928
STL,RDU,81,3647
STL,ORD,137,4358
ATL,IND,70,3406
AUS,IND,177,2965
SMF,MSY,64,602
ORD,STL,156,1093
SLC,IAH,67,3454
PHX,DFW,69,4545
BWI,CLE,154,2218
MDW,SMF,122,3910
LAS,DEN,102,1666
ATL,SMF,158,3198
DFW,FLL,145,1706
CVG,MSY,105,2533
MKE,PIT,41,2432
MIA,CLE,110,2837
IAH,DTW,126,4625
DTW,CLT,40,2797
MSY,AUS,82,1683
IND,PHL,93,2254
ORD,ATL,62,4024
STL,IAH,99,3847
MCO,SLC,166,3953
CMH,PDX,75,1545
PHX,AUS,5,839
PDX,MSY,79,4019
RDU,MSY,15,4812
DTW,STL,143,2548
PHL,SLC,9,1219
DFW,CLE,176,1229
BOS,SLC,134,2163
PHL,IND,31,4576
FLL,SLC,128,3138
CLT,IAH,57,1171
STL,IAH,58,4470
OAK,MDW,36,997
CMH,SFO,80,2426
PHX,CMH,56,1893
SMF,CLE,117,3615
CLE,SFO,170,4952
STL,CMH,68,2943
TPA,SAN,55,1535
MSP,FLL,109,1028
DTW,SEA,161,3539
PHL,SLC,164,2757
RDU,BOS,166,636
LAS,DCA,14,3860
SEA,PDX,81,1128
ATL,BOS,140,3919
FLL,DEN,150,1053
BWI,FLL,130,4029
OAK,DFW,21,4452
MKE,PIT,34,4564
LAX,PHX,11,1653
ORD,CVG,126,1579
SEA,CMH,95,2894
SJC,CMH,128,4875
IND,MIA,153,503
DEN,MDW,21,3824
PIT,LAS,143,1140
RDU,PHX,78,182
JFK,ORD,26,3479
PDX,DCA,57,1252
MSP,JFK,173,3610
CMH,JFK,59,1695
MIA,MDW,154,4387
MSP,LAX,51,1637
ORD,PDX,97,4216
PIT,HNL,124,3959
IND,HNL,7,2890
CMH,LAS,6,4793
STL,TPA,146,1541
SFO,LAX,97,1590
OAK,IND,9,2217
ORD,OAK,13,1169
AUS,LAS,29,782
BWI,HNL,122,390
ATL,MDW,58,4442
MSP,MKE,75,424
DEN,CVG,166,2448
SAN,PIT,15,2915
CMH,DTW,127,713
CVG,SLC,137,4346
CMH,PHX,66,860
CMH,ATL,150,4326
DFW,PHL,59,497
CLT,AUS,132,1342
SLC,SJC,160,3051
LAS,JFK,129,4658
MIA,HNL,97,1600
FLL,MDW,76,3281
MDW,FLL,26,2987
CLE,STL,28,657
ATL,CMH,92,996
DCA,LAX,50,892
RDU,STL,140,1579
MSP,CLE,66,1206
RDU,IAH,169,3235
STL,SFO,86,1611
JFK,ATL,177,3077
IAH,MIA,109,1900
SAN,MCO,40,1420
MSY,RDU,104,555
BWI,IAH,85,1823
SEA,SLC,161,3421
RDU,LAS,135,4186
IAH,IND,92,2523
MSY,JFK,100,1516
MSY,PHL,154,4194
LAX,ORD,13,2872
MSP,CLE,47,3555
MKE,SEA,88,4788
STL,IND,149,500
HNL,TPA,47,1537
DTW,AUS,130,4192
AUS,CVG,75,2812
SJC,OAK,51,1395
PIT,MIA,132,2643
MCO,MIA,96,4616
SAN,IAH,72,4642
BWI,ORD,29,4972
IAH,ATL,95,1124
PHL,SFO,119,2839
CVG,BOS,9,1847
BOS,IND,138,3887
DEN,OAK,67,3603
MSY,DTW,33,2505
IND,SJC,80,563
MDW,SMF,96,2748
CVG,BWI,90,521
PHL,AUS,76,2054
DCA,MCO,17,785
DFW,MCO,34,1733
DEN,MCO,94,583
MDW,MSY,46,553
DEN,MDW,39,712
DFW,BOS,66,2047
MIA,PHX,125,4422
MSY,OAK,166,120
ATL,SJC,174,186
RDU,ATL,157,1213
DEN,HNL,109,386
MDW,SMF,46,2733
BWI,OAK,36,277
MSP,HNL,62,4079
STL,CLT,168,2542
CVG,SAN,40,1346
IAH,FLL,28,1808
CMH,FLL,139,282
JFK,FLL,97,1978
DFW,TPA,48,2857
PHX,IAH,152,3028
JFK,LAS,96,2081
CMH,IAH,103,4919
CVG,DEN,23,3953
BWI,PDX,84,1339
SFO,MSP,89,4872
IND,MDW,36,1607
JFK,CMH,72,750
MKE,AUS,147,3530
MKE,SEA,40,4024
STL,MSY,58,3295
MSP,SJC,69,526
LAX,CMH,140,4032
AUS,BOS,151,2203
CLE,DEN,70,2428
OAK,SLC,31,3101
SLC,MSY,5,1879
CVG,SMF,80,4912
DTW,SAN,99,3755
LAX,SJC,103,4787
DFW,SMF,158,4169
CMH,DEN,49,2242
LAX,DEN,72,956
TPA,ORD,5,3923
MDW,SAN,103,3591
DFW,PIT,6,4468
STL,IAH,170,2080
MCO,BOS,162,2865
TPA,MSY,65,1105
CLE,BOS,22,4508
MSP,CVG,158,3477
CVG,BWI,63,2830
HNL,LAS,30,4968
ATL,JFK,162,4477
TPA,SFO,40,801
TPA,LAS,52,3884
TPA,ORD,49,2926
SFO,PDX,175,3267
PDX,AUS,173,646
CLT,CMH,29,2397
SFO,JFK,88,3605
MKE,PDX,141,3334
DTW,IAH,171,3881
DFW,CMH,70,2549
MKE,IAH,176,2484
LAS,PHL,41,2216
SEA,HNL,96,1143
IAH,LAS,158,4524
PHX,DCA,69,3372
MSY,CLE,75,4749
DCA,PIT,54,1468
IAH,SFO,94,2043
MIA,ATL,44,4372
IND,MKE,83,4059
OAK,SMF,30,3085
LAX,ATL,133,113
DEN,SLC,34,4178
DEN,OAK,161,3158
CMH,ATL,148,1726
DEN,FLL,127,3112
MKE,RDU,152,978
JFK,MCO,81,2205
PDX,RDU,145,3746
MSY,DTW,55,2531
ORD,SFO,79,386
MKE,STL,66,4547
AUS,MCO,28,1375
PHL,LAX,20,2091
PHL,ORD,168,4744
BOS,MDW,127,972
PHX,SMF,133,3968
IAH,CLE,90,1231
BOS,SEA,81,3299
ATL,IND,166,1516
SMF,SAN,84,942
CLT,LAX,143,4015
CLT,PIT,9,4917
BWI,MIA,147,1961
ATL,BWI,85,4503
MDW,STL,101,4816
MDW,SLC,158,719
LAX,BWI,21,3485
TPA,LAX,120,701
SLC,ATL,71,3226
JFK,DTW,74,3233
OAK,JFK,15,4760
FLL,IAH,151,564
ORD,BWI,70,4691
MIA,JFK,48,2507
ORD,SJC,57,4898
MKE,PHL,95,1315
LAS,CMH,103,1853
LAX,SAN,88,1720
MKE,IAH,156,785
ATL,MCO,91,1591
SMF,SLC,57,2598
CLT,JFK,28,3202
OAK,JFK,141,2236
SJC,MSY,69,2260
SFO,IAH,68,3430
MKE,AUS,97,371
RDU,PHL,68,3530
IND,BWI,166,3588
SEA,TPA,56,1931
DEN,PHX,132,3151
SEA,CVG,10,4578
CMH,IND,30,3029
PIT,MIA,73,982
CVG,PIT,179,2097
TPA,STL,79,3991
MCO,CVG,163,3316
BOS,SJC,83,755
MCO,IAH,133,4304
TPA,DEN,63,1548
RDU,FLL,112,1938
CLT,PHL,169,672
SLC,DCA,107,4665
DEN,TPA,155,3931
BWI,SFO,97,1965
CMH,CLE,41,4667
HNL,FLL,92,3403
MCO,CVG,26,951
HNL,IAH,128,212
CMH,LAX,38,1882
AUS,CVG,75,2432
MDW,DCA,51,4724
BOS,IND,45,544
AUS,PHX,118,4133
CVG,LAX,15,4421
JFK,BWI,116,1064
LAS,DCA,165,1761
HNL,PIT,34,4212
PHX,MCO,11,1320
SJC,MDW,155,4060
DTW,MDW,131,4809
ORD,ATL,27,1411
BWI,OAK,96,1650
OAK,SEA,40,3274
CLE,PHL,85,3926
DCA,BWI,51,2337
CVG,SJC,163,550
CLT,CMH,13,4311
PIT,MSP,150,4203
HNL,BWI,135,2754
DTW,DEN,31,135
CLT,DEN,122,880
CMH,DCA,50,1007
DFW,IND,116,2856
DTW,OAK,111,1773
SJC,IAH,61,441
CLE,SFO,167,838
LAS,STL,61,3388
MKE,DTW,7,1654
CVG,PHX,101,504
MKE,MIA,114,2942
ATL,LAX,98,2306
SMF,PHX,19,3806
AUS,MSP,123,4404
BOS,FLL,32,1916
JFK,TPA,64,4769
CLE,SLC,35,1050
JFK,MSY,70,2730
CVG,SMF,18,177
RDU,SMF,59,1422
JFK,DTW,108,1730
PDX,OAK,116,690
DTW,LAS,136,1620
PIT,RDU,38,2550
PIT,SJC,82,4010
DEN,PHX,9,959
STL,LAS,87,3495
RDU,STL,18,1333
PDX,BWI,107,3412
DFW,MDW,99,1671
MSY,IND,154,910
PHX,PIT,165,3451
PDX,ORD,118,1349
CMH,MCO,95,595
BWI,JFK,132,2182
CLT,DEN,27,4081
DFW,MIA,45,4091
DCA,OAK,165,2748
MKE,SFO,155,641
OAK,MSP,60,1945
STL,MDW,32,2134
IND,SLC,62,2638
CLE,SMF,106,4896
CLT,DTW,83,2195
PHL,BOS,179,4935
ORD,ATL,108,664
MSY,MCO,65,3716
BWI,ORD,55,2702
MKE,ATL,11,3411
MSP,MKE,100,2332
STL,PIT,179,2478
OAK,DCA,156,1081
PIT,MIA,48,2961
ORD,RDU,46,2359
HNL,TPA,167,1009
BOS,IND,137,4255
SEA,DFW,167,457
SMF,CMH,66,2537
CMH,LAS,108,2105
RDU,DEN,81,263
BWI,HNL,59,238
FLL,BWI,68,149
DCA,ORD,165,871
DEN,DFW,122,2651
HNL,SJC,119,2832
CLE,BOS,76,4274
STL,BOS,86,2861
CLE,FLL,109,1339
MIA,SJC,40,944
SMF,TPA,84,921
AUS,IND,123,4714
PHX,TPA,76,4768
ATL,MDW,21,651
DEN,ORD,58,4734
DEN,MKE,35,2305
LAS,MSP,155,1537
ORD,MSY,60,4312
MSP,SEA,54,4857
HNL,DEN,75,3640
MDW,MIA,59,1343
MSY,SAN,115,1280
MCO,FLL,166,4132
PHL,MSY,81,1066
IAH,LAS,45,902
MCO,MIA,95,4456
MDW,LAS,142,4685
BOS,CLT,133,3533
MCO,STL,141,405
PDX,DCA,48,2126
SAN,DCA,119,405
SLC,MKE,60,1446
MKE,DEN,157,1252
PIT,JFK,69,2487
TPA,CLE,61,722
CMH,PHX,137,4703
AUS,DCA,106,1237
IND,MKE,133,4222
PDX,PHL,76,306
DCA,JFK,111,4500
FLL,LAX,21,4510
DEN,OAK,130,3517
PHX,DEN,120,4859
MKE,HNL,167,4133
RDU,SAN,89,3730
PHL,SAN,43,720
SFO,PDX,90,2075
ORD,LAS,9,1971
MSP,SEA,20,3050
STL,AUS,78,3722
MCO,SEA,54,1240
MIA,PIT,177,1973
CLT,JFK,171,2831
JFK,SEA,143,871
MKE,ORD,132,3537
CLT,OAK,132,2327
MDW,PDX,71,2725
TPA,FLL,60,1490
MDW,FLL,116,2847
CLE,CVG,97,395
AUS,SMF,19,2530
PHL,LAS,57,3846
TPA,CMH,18,3501
SEA,SMF,98,4055
SAN,MCO,126,1141
CLE,SLC,170,3244
CMH,AUS,110,2737
PHX,TPA,126,651
PHL,SEA,133,1878
ATL,AUS,85,841
MSY,MSP,76,4722
SMF,MCO,128,1721
MSY,SLC,172,2707
CMH,RDU,152,1760
PHL,CLE,163,1621
SEA,PIT,159,2486
OAK,RDU,15,3849
LAX,DCA,38,4092
AUS,PHL,131,2482
MCO,ORD,161,1273
DFW,MSY,175,2157
TPA,MSP,78,4622
CLT,MCO,50,2201
CVG,STL,120,2310
ATL,DTW,55,1644
ORD,TPA,36,2283
PHX,JFK,7,3853
RDU,FLL,127,3045
PIT,SJC,92,4238
SMF,SEA,62,4083
SMF,BOS,20,1082
SEA,JFK,166,3615
LAX,BOS,19,4389
IAH,PDX,19,2750
FLL,MCO,76,1016
FLL,MSP,125,3800
MSP,MDW,42,2014
OAK,SJC,134,958
RDU,DCA,125,1844
CLE,CVG,60,3329
RDU,PHL,149,2480
HNL,CLE,45,2570
CMH,ORD,120,3704
PHL,MIA,82,3724
ORD,CMH,108,2309
IND,SFO,146,1214
IND,CMH,9,1541
MSP,PHL,10,4698
PIT,CLT,87,2126
SFO,MSP,41,4539
CLT,MIA,114,4535
ATL,DCA,92,4066
PHX,MCO,171,4089
SJC,MKE,148,2265
DCA,MSY,153,1827
LAX,IND,56,3977
CLE,DTW,59,4680
AUS,PHL,146,4770
MDW,SAN,42,3454
SMF,BOS,65,2324
DTW,DEN,114,4619
PHX,PIT,147,1400
MIA,CLE,119,3238
CLE,CMH,80,1520
PHX,LAS,51,204
SEA,RDU,37,4783
BOS,SJC,65,2999
MCO,IND,17,3589
PHX,PHL,130,2203
CMH,LAX,34,3400
CMH,HNL,143,4349
OAK,JFK,69,542
JFK,FLL,126,2513
HNL,MCO,94,2110
MKE,LAS,169,3506
MDW,MCO,16,3208
IND,PHL,171,3329
IAH,JFK,105,1108
CMH,PHL,18,2132
CMH,CLT,139,1535
AUS,DEN,92,3230
LAS,PDX,149,3558
HNL,CLT,13,763
CLT,DEN,109,3890
DFW,SEA,11,4247
SFO,SEA,165,418
